Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,0.055339,0.056144,0.057144,0.058294,0.059524,0.060781,0.062059,0.06336,0.064655,0.06591,0.067098,0.068188,0.069176,0.070066,0.070878,0.071609,0.072285,0.072875,0.073324,0.073528,0.073442,0.073066,0.072448,0.071639,0.070725,0.069782,0.068809,0.067845,0.067058,0.066627,0.066696,0.067307,0.068427,0.069938,0.071719,0.073619,0.075628,0.077739,0.079851,0.081831,0.083584,0.085057,0.086266,0.087293,0.088257,0.089253,0.090301,0.091381,0.092478,0.093581,0.094661,0.095719,0.096777,0.097824,0.098875,0.099923,0.100963,0.102012
Australia,AUS,"Population, total",SP.POP.TOTL,10.276477,10.483,10.742,10.95,11.167,11.388,11.651,11.799,12.009,12.263,12.507,12.937,13.177,13.38,13.723,13.893,14.033,14.192,14.358,14.514,14.692,14.927,15.178,15.369,15.544,15.758,16.0184,16.2639,16.5322,16.8144,17.0651,17.284,17.495,17.667,17.855,18.072,18.311,18.517,18.711,18.926,19.153,19.413,19.6514,19.8954,20.1274,20.3948,20.6979,20.8276,21.2492,21.6917,22.03175,22.340024,22.742475,23.145901,23.504138,23.850784,24.210809,24.598933
Austria,AUT,"Population, total",SP.POP.TOTL,7.047539,7.086299,7.129864,7.175811,7.223801,7.270889,7.322066,7.376998,7.415403,7.441055,7.467086,7.500482,7.544201,7.586115,7.599038,7.578903,7.565525,7.56843,7.562305,7.549425,7.549433,7.56871,7.57414,7.56191,7.561434,7.564985,7.569794,7.574586,7.585317,7.619567,7.67785,7.754891,7.840709,7.905633,7.936118,7.948278,7.959017,7.968041,7.976789,7.992324,8.011566,8.042293,8.081957,8.121423,8.171966,8.227829,8.268641,8.295487,8.321496,8.343323,8.363404,8.391643,8.429991,8.479823,8.546356,8.642699,8.736668,8.809212
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,3.895396,4.03032,4.171425,4.315128,4.456689,4.59261,4.721525,4.84387,4.960235,5.07193,5.180025,5.284532,5.385267,5.483084,5.579077,5.674137,5.768724,5.863134,5.957929,6.053645,6.150738,6.24932,6.349558,6.452076,6.557585,6.666455,6.778633,6.8935,7.010036,7.126891,7.159,7.271,7.382,7.495,7.597,7.685,7.763,7.83825,7.913,7.98275,8.0486,8.1112,8.17195,8.2341,8.3065,8.39185,8.48455,8.5813,8.7634,8.947243,9.054332,9.173082,9.295784,9.416801,9.535079,9.649341,9.757812,9.862429
Burundi,BDI,"Population, total",SP.POP.TOTL,2.786106,2.839666,2.893669,2.949926,3.010859,3.077876,3.152723,3.234023,3.316233,3.391753,3.455606,3.505391,3.544047,3.57849,3.618585,3.671494,3.739659,3.821194,3.913768,4.01331,4.116817,4.223195,4.333386,4.448728,4.571292,4.702066,4.841565,4.987736,5.135956,5.280024,5.415415,5.542048,5.661139,5.771398,5.871607,5.962058,6.041112,6.112097,6.186352,6.27894,6.400706,6.555829,6.741569,6.953113,7.182451,7.423289,7.675338,7.939573,8.212264,8.489031,8.76693,9.043508,9.31971,9.600186,9.89179,10.19927,10.524117,10.864245
Belgium,BEL,"Population, total",SP.POP.TOTL,9.153489,9.183948,9.220578,9.28977,9.378113,9.463667,9.527807,9.580991,9.618756,9.646032,9.655549,9.673162,9.711115,9.74172,9.772419,9.8007,9.818227,9.830358,9.839534,9.848382,9.859242,9.858982,9.856303,9.85552,9.855372,9.858308,9.861823,9.870234,9.901664,9.937697,9.967379,10.004486,10.045158,10.084475,10.115603,10.136811,10.156637,10.181245,10.203008,10.226419,10.25125,10.28657,10.332785,10.376133,10.421137,10.478617,10.547958,10.6257,10.709973,10.796493,10.895586,11.047744,11.128246,11.182817,11.209057,11.274196,11.331422,11.372068
Benin,BEN,"Population, total",SP.POP.TOTL,2.431622,2.465867,2.502896,2.542859,2.585965,2.632356,2.682159,2.735307,2.79159,2.850661,2.91234,2.976572,3.043567,3.113675,3.187412,3.265165,3.347173,3.433439,3.523938,3.618526,3.717165,3.820128,3.927714,4.039949,4.156819,4.278501,4.404506,4.535263,4.672852,4.820016,4.978496,5.149499,5.331803,5.521763,5.71422,5.905558,6.094259,6.281639,6.470265,6.664098,6.865951,7.076733,7.295394,7.520555,7.750004,7.982225,8.216896,8.454791,8.696916,8.944706,9.199259,9.460802,9.72916,10.004451,10.286712,10.575952,10.872298,11.175692
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,4.829288,4.89458,4.960326,5.027821,5.09889,5.17487,5.256363,5.343019,5.434041,5.528174,5.6246,5.723381,5.825173,5.930483,6.040041,6.154545,6.274037,6.398935,6.530819,6.671656,6.822843,6.98516,7.158255,7.340905,7.531242,7.727907,7.930694,8.140073,8.356305,8.579823,8.811034,9.050084,9.297113,9.552476,9.816588,10.089878,10.372745,10.665546,10.968724,11.282701,11.607942,11.944587,12.2931,12.654621,13.030569,13.42193,13.829177,14.252021,14.689726,15.141099,15.605217,16.081904,16.571216,17.072723,17.585977,18.110624,18.646433,19.193382
Bangladesh,BGD,"Population, total",SP.POP.TOTL,48.199747,49.592802,51.030137,52.532417,54.1291,55.834038,57.67299,59.620669,61.579473,63.417394,65.04777,66.424744,67.59747,68.691185,69.88442,71.305923,72.999136,74.925896,77.033846,79.236776,81.47086,83.721268,86.007331,88.338242,90.732362,93.199865,95.742431,98.343809,100.975321,103.599232,106.188642,108.727432,111.221938,113.695139,116.182267,118.706871,121.269645,123.85464,126.447965,129.029691,131.581243,134.10716,136.600667,139.019001,141.307489,143.431101,145.368004,147.139191,148.805814,150.454708,152.149102,153.911916,155.727053,157.571292,159.405279,161.200886,162.95156,164.669751
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7.867374,7.943118,8.012946,8.078145,8.14434,8.204168,8.258057,8.310226,8.369603,8.434172,8.489574,8.536395,8.5762,8.620967,8.678745,8.720742,8.758599,8.804183,8.814032,8.82594,8.861535,8.891117,8.917457,8.939738,8.960679,8.960547,8.958171,8.971359,8.981446,8.876972,8.718289,8.632367,8.540164,8.472313,8.443591,8.406067,8.362826,8.312068,8.256786,8.210624,8.170172,8.009142,7.837161,7.775327,7.71686,7.658972,7.601022,7.545338,7.492561,7.444443,7.395599,7.348328,7.305888,7.265115,7.223938,7.177991,7.127822,7.075991
