"","","","","","001","","001","","001","","002","","002","","002","","003","","003","","003","","004","","004","","004","","005","","005","","005","","006","","006","","006","","007","","007","","007","","008","","008","","008","","009","","009","","009",""
"","","","","/実数・移動率・日本人人口","実数　都道府県（自都市）内移動者","","実数　都道府県（自都市）内移動者","","実数　都道府県（自都市）内移動者","","実数　他都道府県（他市町村）からの転入者","","実数　他都道府県（他市町村）からの転入者","","実数　他都道府県（他市町村）からの転入者","","実数　他都道府県（他市町村）への転出者","","実数　他都道府県（他市町村）への転出者","","実数　他都道府県（他市町村）への転出者","","実数　転入超過","","実数　転入超過","","実数　転入超過","","移動率　都道府県（自都市）内移動者【％】","","移動率　都道府県（自都市）内移動者【％】","","移動率　都道府県（自都市）内移動者【％】","","移動率　他都道府県（他市町村）からの転入者【％】","","移動率　他都道府県（他市町村）からの転入者【％】","","移動率　他都道府県（他市町村）からの転入者【％】","","移動率　他都道府県（他市町村）への転出者【％】","","移動率　他都道府県（他市町村）への転出者【％】","","移動率　他都道府県（他市町村）への転出者【％】","","移動率　転入超過【％】","","移動率　転入超過【％】","","移動率　転入超過【％】","","日本人人口【千人】","","日本人人口【千人】","","日本人人口【千人】",""
"","","","","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057",""
"国籍 コード","国籍","全国・都道府県・大都市4 コード","全国・都道府県・大都市4","/推移2","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈"
"61000","日本人移動者","11000","埼玉県","","137419","","133577","","-3842","","162275","","159389","","-2886","","148747","","143829","","-4918","","13528","","15560","","2032","","1.92","","1.86","","***","","2.27","","2.22","","***","","2.08","","2.01","","***","","0.19","","0.22","","***","","7160","","7169","","***",""
"61000","日本人移動者","12000","千葉県","","120064","","114601","","-5463","","143390","","143081","","-309","","132785","","127006","","-5779","","10605","","16075","","5470","","1.96","","1.87","","***","","2.34","","2.33","","***","","2.17","","2.07","","***","","0.17","","0.26","","***","","6131","","6137","","***",""
"61000","日本人移動者","13000","東京都","","402066","","386150","","-15916","","426084","","413444","","-12640","","344388","","339267","","-5121","","81696","","74177","","-7519","","3.06","","2.92","","***","","3.24","","3.13","","***","","2.62","","2.57","","***","","0.62","","0.56","","***","","13131","","13207","","***",""
"61000","日本人移動者","14000","神奈川県","","214985","","205161","","-9824","","210995","","205368","","-5627","","197467","","193312","","-4155","","13528","","12056","","-1472","","2.39","","2.28","","***","","2.35","","2.29","","***","","2.20","","2.15","","***","","0.15","","0.13","","***","","8979","","8986","","***",""
"61000","日本人移動者","15000","新潟県","","36540","","34757","","-1783","","21852","","21316","","-536","","28587","","27505","","-1082","","-6735","","-6189","","546","","1.59","","1.53","","***","","0.95","","0.94","","***","","1.25","","1.21","","***","","-0.29","","-0.27","","***","","2293","","2273","","***",""
"61000","日本人移動者","16000","富山県","","10542","","10314","","-228","","12549","","12206","","-343","","13594","","13210","","-384","","-1045","","-1004","","41","","1.00","","0.98","","***","","1.19","","1.16","","***","","1.29","","1.26","","***","","-0.10","","-0.10","","***","","1056","","1049","","***",""
"61000","日本人移動者","17000","石川県","","15734","","15115","","-619","","17933","","17519","","-414","","18220","","18330","","110","","-287","","-811","","-524","","1.37","","1.33","","***","","1.57","","1.54","","***","","1.59","","1.61","","***","","-0.03","","-0.07","","***","","1145","","1140","","***",""
"61000","日本人移動者","18000","福井県","","8736","","8327","","-409","","8528","","8557","","29","","10682","","10377","","-305","","-2154","","-1820","","334","","1.12","","1.08","","***","","1.10","","1.11","","***","","1.37","","1.34","","***","","-0.28","","-0.24","","***","","777","","772","","***",""
"61000","日本人移動者","19000","山梨県","","14424","","13666","","-758","","12582","","12366","","-216","","15135","","14377","","-758","","-2553","","-2011","","542","","1.75","","1.67","","***","","1.53","","1.51","","***","","1.84","","1.76","","***","","-0.31","","-0.25","","***","","824","","818","","***",""
"61000","日本人移動者","20000","長野県","","35317","","34125","","-1192","","26745","","25765","","-980","","29679","","28445","","-1234","","-2934","","-2680","","254","","1.70","","1.66","","***","","1.29","","1.25","","***","","1.43","","1.38","","***","","-0.14","","-0.13","","***","","2072","","2060","","***",""
